Title,Stock Number,Price,AOI (°),Coating,Cut-Off Wavelength (nm),Dia. (mm),Substrate,Optical Density OD,Rejection Wavelength (nm),Surface Quality,Thickness (mm),Thickness Tolerance (mm),Transmission (%),Transmission Wavelength (nm),Type,CA (%),"Transmitted Wavefront, P-V",Slope Factor (%),Cut-Off Tolerance (%),Wavelength Range (nm)
"750nm 50mm Diameter, OD 2 Shortpass Filter",64-668,$195,0 ,Traditional Coated ,750.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,800 - 990 ,40-20 ,5.00 ,±0.1 ,>85 ,400 - 725 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 990 
"775nm 12.5mm Diameter, OD 2 Shortpass Filter",64-599,$89,0 ,Traditional Coated ,775.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,825 - 1015 ,40-20 ,1.50 ,±0.1 ,>85 ,400 - 750 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 1015 
"775nm 25mm Diameter, OD 2 Shortpass Filter",64-607,$125,0 ,Traditional Coated ,775.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,825 - 1015 ,40-20 ,3.00 ,±0.1 ,>85 ,400 - 750 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 1015 
"775nm 50mm Diameter, OD 2 Shortpass Filter",64-615,$195,0 ,Traditional Coated ,775.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,825 - 1015 ,40-20 ,5.00 ,±0.1 ,>85 ,400 - 750 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 1015 
"800nm 12.5mm Diameter, OD 2 Shortpass Filter",47-818,$89,0 ,Traditional Coated ,800.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,850 - 1050 ,40-20 ,1.50 ,±0.1 ,>85 ,400 - 775 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 1050 
"800nm 25mm Diameter, OD 2 Shortpass Filter",47-586,$125,0 ,Traditional Coated ,800.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,850 - 1050 ,40-20 ,3.00 ,±0.1 ,>85 ,400 - 775 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 1050 
"800nm 50mm Diameter, OD 2 Shortpass Filter",64-669,$195,0 ,Traditional Coated ,800.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,850 - 1050 ,40-20 ,5.00 ,±0.1 ,>85 ,400 - 775 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 1050 
"825nm 12.5mm Diameter, OD 2 Shortpass Filter",64-640,$89,0 ,Traditional Coated ,825.00 ,12.50 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,880 - 1080 ,40-20 ,1.50 ,±0.1 ,>85 ,400 - 800 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 1080 
"825nm 25mm Diameter, OD 2 Shortpass Filter",64-647,$125,0 ,Traditional Coated ,825.00 ,25.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,880 - 1080 ,40-20 ,3.00 ,±0.1 ,>85 ,400 - 800 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 1080 
"825nm 50mm Diameter, OD 2 Shortpass Filter",64-654,$195,0 ,Traditional Coated ,825.00 ,50.00 +0.0/-0.2,UV Grade Fused Silica ,?2.0 ,880 - 1080 ,40-20 ,5.00 ,±0.1 ,>85 ,400 - 800 ,Shortpass Filter ,80.00 ,?/4 ,±3 ,±2 ,400 - 1080 
