Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Minimum Transmission (%),Blocking Wavelength Range (nm),Compatible Fluorophore,Optical Density OD,CA (mm),Surface Quality,Coating,Durability,Mount Thickness (mm),Substrate,Substrate Thickness (mm),Type
"825nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-783,$130,12.50 +0.0/-0.1,825.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,"IRDye800CW, DyLight 800, Cy7, LIVE/DEAD fixable Near-IR Dead Cell Stain Emission ",?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"825nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-795,$205,25.00 +0.0/-0.1,825.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,"IRDye800CW, DyLight 800, Cy7, LIVE/DEAD fixable Near-IR Dead Cell Stain Emission ",?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"825nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-807,$495,50.00 +0.0/-0.1,825.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,"IRDye800CW, DyLight 800, Cy7, LIVE/DEAD fixable Near-IR Dead Cell Stain Emission ",?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"850nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-649,$130,12.50 +0.0/-0.1,850.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"850nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-661,$205,25.00 +0.0/-0.1,850.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"850nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-673,$495,50.00 +0.0/-0.1,850.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"875nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-784,$130,12.50 +0.0/-0.1,875.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"875nm CWL, 25mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-796,$205,25.00 +0.0/-0.1,875.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"875nm CWL, 50mm Dia. Hard Coated OD 4 25nm Bandpass Filter",87-808,$495,50.00 +0.0/-0.1,875.00 ,±3 ,25.00 ,±3 ,>90 ,200 - 1200 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
"900nm CWL, 12.5mm Dia. Hard Coated OD 4 25nm Bandpass Filter",86-650,$130,12.50 +0.0/-0.1,900.00 ,±3 ,25.00 ,±3 ,?90 ,200 - 1200 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,MIL-C-48497A Environmental: MIL-STD-810F ,5.00 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter 
