Title,Stock Number,Price,Dia. (mm),CWL (nm),CWL Tolerance (nm),FWHM (nm),FWHM Tolerance (nm),Transmission (%),Blocking Wavelength Range (nm),Compatible Fluorophore,Optical Density OD,CA (mm),Surface Quality,Coating,Mount Thickness (mm),Substrate,Substrate Thickness (mm),Type,Typical Light Sources
"750nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-800,$495,50.00 +0.0/-0.1,750.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"DiR, HiLyte Fluor 752 ",?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,Broadband Illumination Source 
"775nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-944,$130,12.50 +0.0/-0.1,775.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"IRDye800CW, DyLight 800, Cy7, LIVE/DEAD fixable Near-IR Dead Cell Stain ",?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"775nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-956,$205,25.00 +0.0/-0.1,775.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"IRDye800CW, DyLight 800, Cy7, LIVE/DEAD fixable Near-IR Dead Cell Stain ",?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"775nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-968,$495,50.00 +0.0/-0.1,775.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"IRDye800CW, DyLight 800, Cy7, LIVE/DEAD fixable Near-IR Dead Cell Stain ",?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"800nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-777,$130,12.50 +0.0/-0.1,800.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"ICG, IRDye800RS, Alexa Fluor® 790 ",?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,780nm Laser 
"800nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-789,$205,25.00 +0.0/-0.1,800.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"ICG, IRDye800RS, Alexa Fluor® 790 ",?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,780nm Laser 
"800nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-801,$495,50.00 +0.0/-0.1,800.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"ICG, IRDye800RS, Alexa Fluor® 790 ",?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,780nm Laser 
"825nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-945,$130,12.50 +0.0/-0.1,825.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"ICG, IRDye800RS, Alexa Fluor® 790 ",?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"825nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-957,$205,25.00 +0.0/-0.1,825.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"ICG, IRDye800RS, Alexa Fluor® 790 ",?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"825nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-969,$495,50.00 +0.0/-0.1,825.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"ICG, IRDye800RS, Alexa Fluor® 790 ",?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"850nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-778,$130,12.50 +0.0/-0.1,850.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"ICG, IRDye800RS, Alexa Fluor® 790 ",?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,830nm Laser 
"850nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-790,$205,25.00 +0.0/-0.1,850.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"ICG, IRDye800RS, Alexa Fluor® 790 ",?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,830nm Laser 
"850nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-802,$495,50.00 +0.0/-0.1,850.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,"ICG, IRDye800RS, Alexa Fluor® 790 ",?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,830nm Laser 
"875nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-946,$130,12.50 +0.0/-0.1,875.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"875nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-958,$205,25.00 +0.0/-0.1,875.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"875nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",86-970,$495,50.00 +0.0/-0.1,875.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,
"900nm CWL, 12.5mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-779,$130,12.50 +0.0/-0.1,900.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,,?4.0 ,8.5 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,880 and 905nm Laser; 880nm LED 
"900nm CWL, 25mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-791,$205,25.00 +0.0/-0.1,900.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,,?4.0 ,21.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,880 and 905nm Laser; 880nm LED 
"900nm CWL, 50mm Dia. Hard Coated OD 4 50nm Bandpass Filter",84-803,$495,50.00 +0.0/-0.1,900.00 ,±5 ,50.00 ,±5 ,?90 ,200 - 1200 ,,?4.0 ,45.0 ,80-50 ,Hard Coated ,5.0 ,Optical Glass ,3.5 ±0.5 ,Bandpass Filter ,880 and 905nm Laser; 880nm LED 
